CAM-CNT,NFD-1-CPS,cam-cnt_abnormal
1.2021,9.7595,0
1.203,9.9904,0
1.2029,10.1494,0
1.2027,10.0304,0
1.2032,9.844,0
1.203,9.8428,0
1.2022,9.8897,0
1.2029,10.0985,0
1.2033,10.0116,0
1.2024,9.973,0
1.2027,10.0421,0
1.2031,10.1618,0
1.2029,10.0735,0
1.2033,10.0617,0
1.2029,10.1722,0
1.2023,10.1378,0
1.2028,10.1684,0
1.203,10.0623,0
1.2032,9.9802,0
1.203,10.0455,0
1.2025,9.9831,0
1.2026,10.1512,0
1.2028,10.2964,0
1.2029,10.4952,0
1.2032,10.49,0
1.2029,10.4295,0
1.2025,10.4136,0
1.203,10.3349,0
1.2031,10.3076,0
1.2021,10.2037,0
1.2027,10.066,0
1.2031,10.0631,0
1.2029,10.282,0
1.2027,10.1281,0
1.203,10.0394,0
1.203,9.8798,0
1.2026,9.8923,0
1.2031,9.7696,0
1.2032,9.6254,0
1.2026,9.7652,0
1.2032,9.7798,0
1.2036,9.9968,0
1.203,9.9822,0
1.2025,10.0592,0
1.2031,10.0388,0
1.2035,10.0007,0
1.2036,9.7514,0
1.2033,9.8787,0
1.2032,9.7589,0
1.2032,9.7255,0
1.2031,9.6482,0
1.2024,9.5374,0
1.2031,9.6119,0
1.2032,9.6697,0
1.204,9.7006,0
1.2033,10.0,0
1.2027,10.1232,0
1.2024,10.2486,0
1.2029,10.3679,0
1.2025,10.3099,0
1.2027,10.3374,0
1.2025,10.315,0
1.2024,10.3582,0
1.2024,10.5324,0
1.2024,10.5559,0
1.2031,10.5859,0
1.2031,10.3957,0
1.2029,10.383,0
1.2031,10.5259,0
1.2031,10.6002,0
1.2032,10.6091,0
1.2029,10.6864,0
1.203,10.6271,0
1.2037,10.7111,0
1.2031,10.7571,0
1.203,11.0362,0
1.2026,10.9895,0
1.2027,10.9715,0
1.2026,11.0455,0
1.2016,10.947,0
1.2033,11.0241,0
1.2036,10.9692,0
1.2033,11.0469,0
1.2032,10.8075,0
1.203,10.7185,0
1.2027,10.7338,0
1.2034,10.8158,0
1.2021,10.7275,0
1.2026,10.6312,0
1.2026,10.5951,0
1.203,10.5831,0
1.2023,10.5625,0
1.2026,10.3881,0
1.2028,10.2681,0
1.2023,10.1839,0
1.2027,10.0009,0
1.2024,10.1136,0
1.2029,9.9809,0
1.2031,9.9087,0
1.203,9.8752,0
1.203,10.0083,0
1.2029,10.0131,0
1.2034,9.99,0
1.2031,10.0944,0
1.203,10.0332,0
1.2028,10.1179,0
1.2033,10.1747,0
1.2023,10.0417,0
1.2025,10.1055,0
1.2033,10.1711,0
1.2027,10.1404,0
1.2025,9.9835,0
1.2032,10.0134,0
1.2034,10.0066,0
1.203,10.107,0
1.2023,10.0198,0
1.2025,9.9886,0
1.2024,9.9755,0
1.2031,10.0485,0
1.2029,10.0745,0
1.2032,9.9804,0
1.2031,10.0868,0
1.2031,10.2392,0
1.203,10.3135,0
1.2029,10.3557,0
1.2029,10.2509,0
1.2029,10.2284,0
1.2031,10.186,0
1.2029,10.212,0
1.2031,10.286,0
1.2032,10.243,0
1.2031,10.1766,0
1.2029,10.4775,0
1.2032,10.3409,0
1.2032,10.2645,0
1.2036,10.1849,0
1.2034,10.2844,0
1.2034,10.5094,0
1.2036,10.5679,0
1.2032,10.3566,0
1.2037,10.447,0
1.2027,10.551,0
1.2028,10.568,0
1.2025,10.6782,0
1.2024,10.6249,0
1.2027,10.5687,0
1.2028,10.6407,0
1.2031,10.6456,0
1.2031,10.6521,0
1.2025,10.6516,0
1.2026,10.8212,0
1.2022,10.9178,0
1.203,10.7691,0
1.2028,10.7616,0
1.2028,10.6549,0
1.2031,10.8326,0
1.2031,10.8229,0
1.2031,10.82,0
1.2027,10.806,0
1.2031,10.8423,0
1.203,10.9073,0
1.2028,10.9206,0
1.2021,10.8101,0
1.2013,10.769,0
1.202,10.8688,0
1.2021,10.9025,0
1.2031,10.667,0
1.2032,10.8677,0
1.2024,10.9232,0
1.2023,11.1958,0
1.2029,11.2091,0
1.2027,11.049,0
1.2022,11.1185,0
1.2023,10.9722,0
1.2031,10.9519,0
1.2033,10.9731,0
1.2031,10.8877,0
1.2032,11.07,0
1.2032,11.0566,0
1.2029,11.0389,0
1.2028,10.973,0
1.203,10.9482,0
1.2033,10.9046,0
1.2028,10.8692,0
1.203,10.6862,0
1.2023,10.6799,0
1.2026,10.5963,0
1.2025,10.4752,0
1.2024,10.4425,0
1.2027,10.3293,0
1.2028,10.3741,0
1.2028,10.3397,0
1.2025,10.3707,0
1.2032,10.1462,0
1.2029,10.0387,0
1.2032,9.994,0
1.2032,9.8723,0
1.2031,9.7533,0
1.2032,9.6547,0
1.2039,9.6813,0
1.2027,9.7885,0
1.2023,9.8233,0
1.2026,9.9165,0
1.203,10.0931,0
1.2028,10.1463,0
1.203,10.1116,0
1.2026,10.0595,0
1.2029,10.3038,0
1.2028,10.2775,0
1.2032,10.3696,0
1.2035,10.3702,0
1.2033,10.5258,0
1.2032,10.4371,0
1.2024,10.402,0
1.2024,10.4811,0
1.2024,10.2592,0
1.2031,10.2204,0
1.2032,10.2474,0
1.2031,10.2021,0
1.2035,10.2045,0
1.2037,10.071,0
1.2029,9.9963,0
1.2023,9.8481,0
1.2027,9.8397,0
1.2029,9.7938,0
1.2033,9.8178,0
1.2034,9.7528,0
1.2038,9.8318,0
